[Experiment];;;
[Routine:Q1][Condition:default-F6_Env1][Time(ms):538144.9635]);;;
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-F6_Env1][Time(ms):545436.6993]);;;
VALUE;0.115;Time;3.899881
[Routine:Q1][Condition:default-F5_Env2][Time(ms):564612.0022]);;;
valueq1;1;Time;9 660.802
[Routine:Q2][Condition:default-F5_Env2][Time(ms):574274.026]);;;
VALUE;0.213;Time;3.999302
[Routine:Q1][Condition:default-F8_Env4][Time(ms):593561.2839]);;;
valueq1;1;Time;5 003.269
[Routine:Q2][Condition:default-F8_Env4][Time(ms):595810.7826]);;;
VALUE;0.544;Time;4.586613
[Routine:Q1][Condition:default-F4_Env1][Time(ms):615709.7725]);;;
valueq1;1;Time;5 009.507
[Routine:Q2][Condition:default-F4_Env1][Time(ms):621723.1415]);;;
VALUE;0.315;Time;2.735892
[Routine:Q1][Condition:default-T1_Env2][Time(ms):639735.9141]);;;
valueq1;0;Time;4 573.706
[Routine:Q2][Condition:default-T1_Env2][Time(ms):644310.958]);;;
VALUE;0.277;Time;5.886165
[Routine:Q1][Condition:default-F7_Env4][Time(ms):665483.1712]);;;
valueq1;1;Time;3 037.407
[Routine:Q2][Condition:default-F7_Env4][Time(ms):668522.1915]);;;
VALUE;0.444;Time;4.624236
[Routine:Q1][Condition:default-Catch_Pos1_Env1][Time(ms):688470.0342]);;;
valueq1;0;Time;7 424.113
[Routine:Q2][Condition:default-Catch_Pos1_Env1][Time(ms):695895.5729]);;;
VALUE;0.186;Time;2.473869
[Routine:Q1][Condition:default-Catch1_Env2][Time(ms):713657.4217]);;;
valueq1;1;Time;3 337.126
[Routine:Q2][Condition:default-Catch1_Env2][Time(ms):716996.0969]);;;
VALUE;0.186;Time;3.647806
[Routine:Q1][Condition:default-T1_Env4][Time(ms):735944.8306]);;;
valueq1;1;Time;5 013.695
[Routine:Q2][Condition:default-T1_Env4][Time(ms):739069.4834]);;;
VALUE;0.362;Time;4.461278
[Routine:Q1][Condition:default-T1_Env1][Time(ms):758819.0297]);;;
valueq1;0;Time;3 024.894
[Routine:Q2][Condition:default-T1_Env1][Time(ms):761845.4657]);;;
VALUE;0.226;Time;2.273056
[Routine:Q1][Condition:default-T1_Env2][Time(ms):779418.8392]);;;
valueq1;1;Time;1 335.488
[Routine:Q2][Condition:default-T1_Env2][Time(ms):780755.6024]);;;
VALUE;0.255;Time;3.948989
[Routine:Q1][Condition:default-F5_Env4][Time(ms):800005.4821]);;;
valueq1;1;Time;5 003.130
[Routine:Q2][Condition:default-F5_Env4][Time(ms):801942.8291]);;;
VALUE;0.315;Time;2.798627
[Routine:Q1][Condition:default-T1_Env1][Time(ms):820066.4753]);;;
valueq1;0;Time;5 300.071
[Routine:Q2][Condition:default-T1_Env1][Time(ms):825368.3869]);;;
VALUE;0.248;Time;2.44822
[Routine:Q1][Condition:default-F6_Env2][Time(ms):843141.8014]);;;
valueq1;1;Time;849.486
[Routine:Q2][Condition:default-F6_Env2][Time(ms):843992.5911]);;;
VALUE;0.494;Time;5.68616
[Routine:Q1][Condition:default-T1_Env4][Time(ms):864977.9487]);;;
valueq1;1;Time;5 001.523
[Routine:Q2][Condition:default-T1_Env4][Time(ms):866566.3027]);;;
VALUE;0.354;Time;7.349179
[Routine:Q1][Condition:default-T1_Env1][Time(ms):889265.6443]);;;
valueq1;0;Time;786.597
[Routine:Q2][Condition:default-T1_Env1][Time(ms):890053.724]);;;
VALUE;0.248;Time;2.246989
[Routine:Q1][Condition:default-F3_Env2][Time(ms):907603.2843]);;;
valueq1;1;Time;948.127
[Routine:Q2][Condition:default-F3_Env2][Time(ms):908552.8213]);;;
VALUE;0.469;Time;3.949064
[Routine:Q1][Condition:default-F6_Env4][Time(ms):927801.0462]);;;
