[Experiment]
[Routine:Q1][Condition:default][Time(ms):37378.6575])
[Routine:Q2][Condition:default][Time(ms):57114.3714])
58157
[Routine:Q1][Condition:Env2][Time(ms):116625.3166])
[Routine:Q1][Condition:Env1][Time(ms):187933.761])
[Routine:Q1][Condition:Env4][Time(ms):250952.1722])
