[Experiment]
[Routine:Q1][Condition:default-F6_Env1][Time(ms):26235.9954])
0
[Routine:Q2][Condition:default-F6_Env1][Time(ms):33274.6358])
0.4439237
[Routine:Q1][Condition:default-F5_Env2][Time(ms):61985.3817])
0
[Routine:Q2][Condition:default-F5_Env2][Time(ms):63435.2908])
0.9823663
[Routine:Q1][Condition:default-F8_Env4][Time(ms):87733.6334])
1
[Routine:Q2][Condition:default-F8_Env4][Time(ms):90346.8602])
0.9725027
[Routine:Q1][Condition:default-F4_Env1][Time(ms):110470.7765])
0
[Routine:Q2][Condition:default-F4_Env1][Time(ms):111333.1657])
0.7116873
[Routine:Q1][Condition:default-T1_Env2][Time(ms):137332.7421])
0
[Routine:Q2][Condition:default-T1_Env2][Time(ms):139033.0378])
0.3863989
[Routine:Q1][Condition:default-F7_Env4][Time(ms):156482.4036])
1
[Routine:Q2][Condition:default-F7_Env4][Time(ms):157144.1905])
0.8980419
[Routine:Q1][Condition:default-Catch_Pos1_Env1][Time(ms):173743.1984])
0
[Routine:Q2][Condition:default-Catch_Pos1_Env1][Time(ms):174268.9798])
0.410877
[Routine:Q1][Condition:default-Catch1_Env2][Time(ms):191581.0234])
1
[Routine:Q2][Condition:default-Catch1_Env2][Time(ms):192118.996])
0.9864677
[Routine:Q1][Condition:default-T1_Env4][Time(ms):212180.1945])
1
[Routine:Q2][Condition:default-T1_Env4][Time(ms):212705.4478])
0.9916342
[Routine:Q1][Condition:default-T1_Env1][Time(ms):232816.8425])
1
[Routine:Q2][Condition:default-T1_Env1][Time(ms):238030.667])
0.9637392
[Routine:Q1][Condition:default-T1_Env2][Time(ms):258028.8817])
1
[Routine:Q2][Condition:default-T1_Env2][Time(ms):260329.0265])
1.767076E-05
[Routine:Q1][Condition:default-F5_Env4][Time(ms):279003.2161])
0
[Routine:Q2][Condition:default-F5_Env4][Time(ms):281191.2514])
0.9916342
[Routine:Q1][Condition:default-T1_Env1][Time(ms):301477.8182])
1
[Routine:Q2][Condition:default-T1_Env1][Time(ms):302165.2578])
0.410877
[Routine:Q1][Condition:default-F6_Env2][Time(ms):319452.7118])
1
[Routine:Q2][Condition:default-F6_Env2][Time(ms):324853.105])
0.5103974
[Routine:Q1][Condition:default-T1_Env4][Time(ms):342251.3924])
0
[Routine:Q2][Condition:default-T1_Env4][Time(ms):347452.0622])
0.08497323
[Routine:Q1][Condition:default-T1_Env1][Time(ms):365263.5916])
0
[Routine:Q2][Condition:default-T1_Env1][Time(ms):366964.669])
0.3863989
[Routine:Q1][Condition:default-F3_Env2][Time(ms):384388.1554])
0
[Routine:Q2][Condition:default-F3_Env2][Time(ms):387151.6386])
0.01257819
