[Experiment];;;
[Routine:Q1][Condition:default-F2_Env1][;Time;(ms):26589.1549]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-F2_Env1][;Time;(ms):36129.7253]);
VALUE;0.048;Time;2.922003
[Routine:Q1][Condition:default-T1_Env2][;Time;(ms):54386.2218]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-T1_Env2][;Time;(ms):55036.7627]);
VALUE;0.642;Time;5.098703
[Routine:Q1][Condition:default-T1_Env4][;Time;(ms):75436.3685]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-T1_Env4][;Time;(ms):76097.8772]);
VALUE;0.494;Time;4.075491
[Routine:Q1][Condition:default-T1_Env1][;Time;(ms):95510.3287]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-T1_Env1][;Time;(ms):96462.0809]);
VALUE;0.436;Time;2.296524
[Routine:Q1][Condition:default-Catch_Pos2_Env2][;Time;(ms):114084.8872]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-Catch_Pos2_Env2][;Time;(ms):115285.5462]);
VALUE;0.09;Time;3.773729
[Routine:Q1][Condition:default-F7_Env4][;Time;(ms):134371.9199]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-F7_Env4][;Time;(ms):134959.3211]);
VALUE;0.386;Time;2.986107
[Routine:Q1][Condition:default-T1_Env1][;Time;(ms):153245.988]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-T1_Env1][;Time;(ms):153946.7886]);
VALUE;0.338;Time;2.435845
[Routine:Q1][Condition:default-T1_Env2][;Time;(ms):171696.6528]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-T1_Env2][;Time;(ms):172247.3947]);
VALUE;0.115;Time;2.660625
[Routine:Q1][Condition:default-F3_Env4][;Time;(ms):190195.4683]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-F3_Env4][;Time;(ms):190745.8649]);
VALUE;0.436;Time;2.07263
[Routine:Q1][Condition:default-T1_Env1][;Time;(ms):208132.0837]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-T1_Env1][;Time;(ms):208707.6026]);
VALUE;0.315;Time;2.360644
[Routine:Q1][Condition:default-F1_Env2][;Time;(ms):226369.9646]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-F1_Env2][;Time;(ms):226832.4049]);
VALUE;0.323;Time;3.635895
[Routine:Q1][Condition:default-F6_Env4][;Time;(ms):245769.0622]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-F6_Env4][;Time;(ms):246531.577]);
VALUE;0.248;Time;7.124126
[Routine:Q1][Condition:default-Catch_Pos1_Env1][;Time;(ms):268968.5837]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-Catch_Pos1_Env1][;Time;(ms):271368.4602]);
VALUE;0.059;Time;2.648053
[Routine:Q1][Condition:default-F2_Env2][;Time;(ms):289343.1586]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-F2_Env2][;Time;(ms):290067.6166]);
VALUE;0.213;Time;3.61125
[Routine:Q1][Condition:default-T1_Env4][;Time;(ms):308966.8014]);
VALUEQ1;1;Time;0
[Routine:Q2][Condition:default-T1_Env4][;Time;(ms):309441.622]);
VALUE;0.338;Time;2.373625
[Routine:Q1][Condition:default-T1_Env1][;Time;(ms):327141.7325]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-T1_Env1][;Time;(ms):327679.1696]);
VALUE;0.206;Time;2.248266
[Routine:Q1][Condition:default-F5_Env2][;Time;(ms):345241.5219]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-F5_Env2][;Time;(ms):346579.1251]);
VALUE;0.206;Time;2.335254
[Routine:Q1][Condition:default-F1_Env4][;Time;(ms):364216.3228]);
VALUEQ1;0;Time;0
[Routine:Q2][Condition:default-F1_Env4][;Time;(ms):364978.9921]);
VALUE;0.248;Time;2.109528
