[Experiment];;;
[Routine:BSC][Condition:ASYNCH_3PP-OWNERSHIP][Time(ms):783332.2646]);;;
VALUE;0.83;Time;15.16238
[Routine:BSC][Condition:ASYNCH_3PP-AGENCY][Time(ms):798814.8116]);;;
VALUE;0.791;Time;2.091898
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL][Time(ms):800962.9516]);;;
VALUE;0.095;Time;9.062955
[Routine:BSC][Condition:ASYNCH_3PP-THREAT][Time(ms):810061.4314]);;;
VALUE;0.067;Time;8.443065
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL2][Time(ms):818549.2296]);;;
VALUE;0.155;Time;12.55069
[Routine:BSC][Condition:SYNCH_1PP-CONTROL][Time(ms):869941.2629]);;;
VALUE;0.001;Time;8.138444
[Routine:BSC][Condition:SYNCH_1PP-AGENCY][Time(ms):878123.5728]);;;
VALUE;0.988;Time;9.384013
[Routine:BSC][Condition:SYNCH_1PP-CONTROL2][Time(ms):887560.0411]);;;
VALUE;0;Time;7.880904
[Routine:BSC][Condition:SYNCH_1PP-THREAT][Time(ms):895472.5134]);;;
VALUE;0.013;Time;12.19046
[Routine:BSC][Condition:SYNCH_1PP-OWNERSHIP][Time(ms):907722.6379]);;;
VALUE;0.602;Time;9.053176
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL2][Time(ms):955562.6151]);;;
VALUE;0.143;Time;7.588286
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL][Time(ms):963208.6641]);;;
VALUE;0.094;Time;6.991556
[Routine:BSC][Condition:ASYNCH_1PP-OWNERSHIP][Time(ms):970267.7545]);;;
VALUE;0.741;Time;6.120412
[Routine:BSC][Condition:ASYNCH_1PP-THREAT][Time(ms):976432.8898]);;;
VALUE;0.126;Time;7.95179
[Routine:BSC][Condition:ASYNCH_1PP-AGENCY][Time(ms):984433.3869]);;;
VALUE;0.642;Time;4.616227
[Routine:BSC][Condition:ASYNCH_3PP-THREAT][Time(ms):1027835.3297]);;;
VALUE;0.045;Time;7.833136
[Routine:BSC][Condition:ASYNCH_3PP-AGENCY][Time(ms):1035718.6872]);;;
VALUE;0.666;Time;5.245932
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL][Time(ms):1041018.6592]);;;
VALUE;0.179;Time;6.831359
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL2][Time(ms):1047893.3387]);;;
VALUE;0;Time;7.798563
[Routine:BSC][Condition:ASYNCH_3PP-OWNERSHIP][Time(ms):1055756.2096]);;;
VALUE;0.719;Time;6.522705
[Routine:BSC][Condition:SYNCH_1PP-THREAT][Time(ms):1101157.9992]);;;
VALUE;0.041;Time;3.883186
[Routine:BSC][Condition:SYNCH_1PP-AGENCY][Time(ms):1105091.691]);;;
VALUE;0.689;Time;5.42309
[Routine:BSC][Condition:SYNCH_1PP-CONTROL2][Time(ms):1110565.9667]);;;
VALUE;0.126;Time;6.814793
[Routine:BSC][Condition:SYNCH_1PP-CONTROL][Time(ms):1117428.8226]);;;
VALUE;0.179;Time;6.978214
[Routine:BSC][Condition:SYNCH_1PP-OWNERSHIP][Time(ms):1124564.7891]);;;
VALUE;0.527;Time;8.315657
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL2][Time(ms):1171720.9191]);;;
VALUE;0.161;Time;6.728885
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL][Time(ms):1178597.6073]);;;
VALUE;0.199;Time;6.767044
[Routine:BSC][Condition:ASYNCH_1PP-OWNERSHIP][Time(ms):1185524.2799]);;;
VALUE;0.697;Time;5.872264
[Routine:BSC][Condition:ASYNCH_1PP-AGENCY][Time(ms):1191451.966]);;;
VALUE;0.697;Time;9.026706
[Routine:BSC][Condition:ASYNCH_1PP-THREAT][Time(ms):1200538.8594]);;;
VALUE;0.013;Time;8.020138
