[Experiment]
[Routine:BSC][Condition:ASYNCH_3PP-OWNERSHIP][Time(ms):555487.0384])
[Routine:BSC][Condition:ASYNCH_3PP-AGENCY][Time(ms):568621.8058])
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL][Time(ms):576881.608])
[Routine:BSC][Condition:ASYNCH_3PP-THREAT][Time(ms):583681.6705])
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL2][Time(ms):592268.9378])
[Routine:BSC][Condition:SYNCH_1PP-CONTROL][Time(ms):643745.8516])
[Routine:BSC][Condition:SYNCH_1PP-AGENCY][Time(ms):653117.6915])
[Routine:BSC][Condition:SYNCH_1PP-CONTROL2][Time(ms):661554.914])
[Routine:BSC][Condition:SYNCH_1PP-THREAT][Time(ms):668078.8792])
[Routine:BSC][Condition:SYNCH_1PP-OWNERSHIP][Time(ms):674941.6263])
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL2][Time(ms):717818.0334])
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL][Time(ms):725115.3948])
[Routine:BSC][Condition:ASYNCH_1PP-OWNERSHIP][Time(ms):731577.4155])
[Routine:BSC][Condition:ASYNCH_1PP-THREAT][Time(ms):740114.0068])
[Routine:BSC][Condition:ASYNCH_1PP-AGENCY][Time(ms):744539.6619])
[Routine:BSC][Condition:ASYNCH_3PP-THREAT][Time(ms):787245.4287])
[Routine:BSC][Condition:ASYNCH_3PP-AGENCY][Time(ms):790374.8969])
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL][Time(ms):796075.0677])
[Routine:BSC][Condition:ASYNCH_3PP-CONTROL2][Time(ms):806437.832])
[Routine:BSC][Condition:ASYNCH_3PP-OWNERSHIP][Time(ms):812849.7183])
[Routine:BSC][Condition:SYNCH_1PP-THREAT][Time(ms):857063.2388])
[Routine:BSC][Condition:SYNCH_1PP-AGENCY][Time(ms):859772.1371])
[Routine:BSC][Condition:SYNCH_1PP-CONTROL2][Time(ms):865897.3265])
[Routine:BSC][Condition:SYNCH_1PP-CONTROL][Time(ms):868972.7994])
[Routine:BSC][Condition:SYNCH_1PP-OWNERSHIP][Time(ms):871934.3236])
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL2][Time(ms):916449.2201])
[Routine:BSC][Condition:ASYNCH_1PP-CONTROL][Time(ms):919207.717])
[Routine:BSC][Condition:ASYNCH_1PP-OWNERSHIP][Time(ms):925771.1879])
[Routine:BSC][Condition:ASYNCH_1PP-AGENCY][Time(ms):931158.1544])
[Routine:BSC][Condition:ASYNCH_1PP-THREAT][Time(ms):936345.7321])
